time,FSO_T00_SKPAuto_Opstarten,FSO_T01_SKPAuto_VerzekererdJaNee,FSO_T02_SKPAuto_Kenteken,FSO_T03_SKPAuto_AutoCheck,FSO_T04_SKPAuto_Postcode,FSO_T05_SKPAuto_Bestuurder,FSO_T06_SKPAuto_GeboorteDatum,FSO_T07_SKPAuto_SchadeVrijeJaren,FSO_T08_SKPAuto_Kilometers,FSO_T09_SKPAuto_Basisdekking,FSO_T10_SKPAuto_Uitbreiding,FSO_T11_SKPAuto_Ingangsdatum,FSO_T12_SKPAuto_Ongevallen,FSO_T13_SKPAuto_Samenvatting1,FSO_T14_SKPAuto_PriveZakelijk,FSO_T15_SKPAuto_KentekenOpNaam,FSO_T16_SKPAuto_Persoonsgegevens,FSO_T17_SKPAuto_Adres,FSO_T18_SKPAuto_TelefoonEmail,FSO_T19_SKPAuto_AanvullendeVragen,FSO_T20_SKPAuto_GeweigerdOpgezegd,FSO_T21_SKPAuto_StrafbaarFeit,FSO_T22_SKPAuto_EerderSchade,FSO_T23_SKPAuto_MaandJaar,FSO_T24_SKPAuto_Rekeningnummer,FSO_T25_SKPAuto_Samenvatting2,FSO_T26_SKPAuto_EindeScript
13-3 23:30,"2,32","0,39","0,31","1,50","0,31","1,26","1,93","2,52","0,38","3,00","0,69","0,58","1,40","1,73","0,50","0,41","0,59","2,48","1,23","8,40","0,40","0,55","0,43","0,40","1,31","2,85","0,48"
13-3 23:35,"2,30","0,34","0,28","2,16","0,38","1,24","0,96","2,19","0,53","3,04","0,72","0,57","2,02","2,60","0,52","0,39","1,48","2,37","1,47","7,33","0,44","0,66","0,46","0,44","1,50","3,51","0,47"
13-3 23:40,"2,31","0,48","0,29","1,45","0,36","1,40","0,95","2,20","0,39","2,95","0,79","0,57","1,79","2,53","0,48","0,41","0,54","2,54","1,36","7,58","0,46","0,53","0,46","0,62","0,92","3,40","0,58"
13-3 23:45,"3,04","0,31","0,37","1,65","0,29","1,03","0,96","3,21","0,82","3,36","0,67","0,58","1,34","1,56","0,52","0,45","0,72","2,20","1,54","7,55","0,39","0,46","0,40","0,41","1,50","3,54","0,48"
13-3 23:50,"2,52","0,25","0,44","2,19","0,49","2,06","0,99","2,45","0,60","3,13","0,76","0,55","1,58","1,60","0,59","0,53","0,61","2,06","1,31","7,21","0,45","0,49","0,46","0,43","3,16","3,59","0,41"
13-3 23:55,"2,35","0,46","0,37","1,44","0,35","1,34","1,03","4,20","0,57","2,93","0,69","0,55","1,38","2,52","0,52","0,38","0,58","2,24","1,22","8,18","0,41","0,43","0,40","0,55","3,20","3,45","0,59"
14-3 0:00,"2,86","0,36","0,30","1,68","0,30","1,49","1,24","2,35","0,60","2,92","0,69","0,48","1,99","2,56","0,54","0,46","0,65","2,36","1,46","8,07","0,41","0,39","0,54","0,44","1,51","3,33","0,54"
14-3 0:05,"2,23","0,34","0,30","2,20","0,50","1,46","0,95","2,39","0,58","3,09","0,76","0,55","1,79","2,56","0,55","0,41","1,12","2,11","1,31","7,83","0,44","0,47","0,47","0,47","1,46","3,11","0,59"
14-3 0:10,"2,44","0,34","0,75","1,24","0,30","1,17","1,08","2,29","0,50","3,02","0,73","0,54","1,32","2,56","0,59","0,38","0,61","2,09","1,50","9,06","0,48","0,48","0,44","0,51","1,46","3,50","0,54"
14-3 0:15,"2,21","0,32","0,29","1,73","0,33","1,28",-,-,-,-,-,-,"1,42","2,65","0,58","0,49","0,44","3,28","1,54","8,62","0,44","0,41","0,43","0,42","1,42","3,20","0,58"
14-3 0:20,-,-,-,-,-,-,"0,92","2,14","0,66","3,06","0,66","0,54","1,36","2,57","0,65","0,45","0,60","2,53","1,73","7,98","0,45","0,75","0,53","0,62","1,57","4,20","0,62"
14-3 0:25,"2,29","0,33","0,33","2,02","0,31","1,08","1,09","1,89","0,56","3,79","0,67","0,54","2,88","2,54","0,45","0,46","0,63","2,17","1,49","7,92","0,38","0,35","0,41","0,31","1,65","3,27","0,44"
14-3 0:30,"2,52","0,34","0,32","1,56","0,32","1,41","0,97","2,30","0,60","3,08","0,82","0,68","1,46","2,09","0,59","0,45","0,62","2,79","1,89","8,35","0,43","0,40","0,41","0,40","2,52","2,57","0,56"
14-3 0:35,"2,87","2,03","1,80","4,57","2,78","3,12","1,18","2,22","0,44","2,92","0,59","0,50","1,48","1,78","0,60","8,32","1,76","2,41","1,32","7,93","0,40","0,49","0,41","0,43","1,36","3,06","0,43"
14-3 0:40,"2,72","0,29","0,47","1,78","0,33","1,43",-,-,-,-,-,-,-,-,-,-,-,"2,13","1,51","8,08","0,34","0,37","0,43","0,43","1,36","2,63","0,47"
14-3 0:45,"2,52","0,32","0,41","1,68","0,36","1,28",-,-,-,-,-,-,"1,36","2,50","0,47","0,58","0,58","2,70","1,98","8,24","0,55","0,55","0,40","0,56","1,98",-,-
14-3 0:50,-,-,-,-,-,-,"1,04","2,51","0,57","2,96","0,78","0,51",-,-,-,-,-,-,-,-,"0,41","0,52","0,44","0,48","1,45","3,30","0,55"
14-3 0:55,-,-,-,-,-,-,"1,33","6,31","0,51","2,87","0,67","0,64",-,"2,61","0,55","0,49","0,65","2,10",-,-,-,-,-,-,"1,61","3,68","0,63"
14-3 1:00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14-3 1:05,-,-,-,-,-,-,"0,94","4,04","0,48","2,98","0,68","0,52","1,78","1,64","0,54","0,51","0,66","2,36",-,-,-,-,-,-,-,-,-
14-3 1:10,"2,26","0,43","0,28","1,78","0,32","0,98","1,13","2,16","0,59","3,03","0,61","0,54","1,50","2,61","0,55","0,54","0,86","2,14","1,53","8,18","0,54","0,53","0,54","0,51","0,86","3,51","0,46"
14-3 1:15,-,-,-,-,-,-,-,-,-,-,-,-,"1,34","2,50","0,47","0,37","0,55","2,13",-,-,-,-,-,-,-,-,-
14-3 1:20,"2,28","0,31","0,32","1,75","0,45","1,43",-,-,-,-,-,-,"1,58","0,67","0,46","0,49","0,83",-,"1,15","8,73","0,44","0,51","0,50","0,51","1,01",-,-
14-3 1:25,-,-,-,-,-,-,"1,33","1,87","0,53","3,01","0,69","0,56",-,"2,61","0,51","0,41","0,60","2,66","1,80","8,84","0,57","0,59","0,40","0,45","1,40","3,38","0,67"
